hid_dim,metric_acc,metric_f1,metric_precision,metric_recall,val_metric_acc,val_metric_f1,val_metric_precision,val_metric_recall,loss,val_loss
16,1.0,1.0,1.0,1.0,0.7780721068382264,0.6670240875246207,0.7207622056845194,0.7092799254841431,0.035212595015764236,1.1233581066131593
32,1.0,1.0,1.0,1.0,0.6566478252410889,0.5630927222929103,0.6866864033185254,0.6144919462705255,0.025555566884577274,1.3123903274536133
48,1.0,1.0,1.0,1.0,0.7635105013847351,0.6325758661831017,0.7008371051104667,0.707255899014229,0.005289121204987169,1.1599073648452758
64,1.0,1.0,1.0,1.0,0.8135064363479614,0.6733713901185033,0.7037253868115398,0.7162506839124426,0.004401638882700354,0.9468159317970276
80,1.0,1.0,1.0,1.0,0.5697368383407593,0.5674483979202818,0.599095813441478,0.6393186877989521,0.0028611129382625222,1.8753737211227417
96,1.0,1.0,1.0,1.0,0.7195820510387421,0.632976494394278,0.707507701436258,0.6831825311863449,0.0007010695815552026,1.3561564922332763
112,1.0,1.0,1.0,1.0,0.7723684310913086,0.6710538266634449,0.72298650740105,0.7139687531196964,0.0004279301414499059,1.0736703753471375
128,1.0,1.0,1.0,1.0,0.7960526347160339,0.6852232011279008,0.726186354538022,0.7231817567255143,0.0002418950665742159,1.0886537313461304
144,1.0,1.0,1.0,1.0,0.5631579041481019,0.5723998619910654,0.6768594814895017,0.6571306471306471,0.0011560810322407632,1.9249505043029784
160,1.0,1.0,1.0,1.0,0.7111634016036987,0.6323643988782063,0.6775239715673969,0.7007845527049957,0.0003846954845357686,1.237428641319275
176,1.0,1.0,1.0,1.0,0.568421047925949,0.541022521101629,0.7192763215197632,0.6217160154660155,0.0011643781210295856,2.035182070732117
192,1.0,1.0,1.0,1.0,0.7697542667388916,0.6353182314639575,0.6852808777986905,0.6780232522109161,0.0005138715845532715,0.9966188311576843
208,1.0,1.0,1.0,1.0,0.7930331230163574,0.6930629922732627,0.7185169098440689,0.7246243472839218,0.0006016238883603364,1.0371407389640808
224,1.0,1.0,1.0,1.0,0.7305804491043091,0.631072330063121,0.7084335475998922,0.6535092241716087,0.0003347510704770684,1.178208303451538
240,1.0,1.0,1.0,1.0,0.7707040786743165,0.6560920835091975,0.7323160669119748,0.6959983890724557,0.00021610356052406132,1.1015539169311523
256,1.0,1.0,1.0,1.0,0.7872377038002014,0.6734196274519042,0.770836529269707,0.6859418245974849,0.0006055498321074993,0.9384723663330078
512,1.0,1.0,1.0,1.0,0.7668874144554139,0.6425771485682327,0.7136652049166099,0.6932092677934178,0.00035977788211312146,1.2589475631713867
