hid_dim,metric_acc,metric_f1,metric_precision,metric_recall,val_metric_acc,val_metric_f1,val_metric_precision,val_metric_recall,loss,val_loss
16,1.0,1.0,1.0,1.0,0.9435555458068847,0.9441760232513037,0.947590948457927,0.9438960085068681,0.0776522308588028,0.4520033061504364
32,1.0,1.0,1.0,1.0,0.9746666669845581,0.9747329991009425,0.9755371727572598,0.9747218617635436,0.027559924870729446,0.3345900774002075
48,1.0,1.0,1.0,1.0,0.9337777733802796,0.9338186388459772,0.9402646606216111,0.9335874686026127,0.02092815898358822,0.3662533640861511
64,1.0,1.0,1.0,1.0,0.9346666693687439,0.9351783276694251,0.9414744355843527,0.9348910180647263,0.015980472043156623,0.3860799252986908
80,1.0,1.0,1.0,1.0,0.9199999928474426,0.9213990747746138,0.9318771132587698,0.9200267797121731,0.014372557960450649,0.4080876410007477
96,1.0,1.0,1.0,1.0,0.9199999928474426,0.9211852156224779,0.9348449303089744,0.9200209520707812,0.01773019153624773,0.39531491994857787
112,1.0,1.0,1.0,1.0,0.9124444365501404,0.9134089903014722,0.9280273403170138,0.912020594873519,0.016637879982590677,0.44530209302902224
128,1.0,1.0,1.0,1.0,0.920888876914978,0.9213411733379526,0.9314031753905503,0.9219195290599235,0.01442316584289074,0.41864891052246095
144,1.0,1.0,1.0,1.0,0.9057777881622314,0.9064477379878882,0.9272356326470821,0.9056477122183033,0.012415902875363826,0.48024839758872984
160,1.0,1.0,1.0,1.0,0.9262222170829773,0.9262161405998469,0.9365061120857169,0.9260251715933201,0.016035465896129607,0.4276093184947968
176,1.0,1.0,1.0,1.0,0.9226666688919067,0.9226806614086908,0.9335412200804891,0.9226585538017215,0.011950715072453022,0.46486200094223024
192,1.0,1.0,1.0,1.0,0.8951111197471618,0.8990290431035609,0.9213903544888729,0.895465846141191,0.009098528418689966,0.459375
208,1.0,1.0,1.0,1.0,0.8404444456100464,0.8426160006380394,0.8985516082478228,0.840163806231222,0.012732314504683017,0.5745176434516907
224,1.0,1.0,1.0,1.0,0.9155555367469788,0.9163375761655239,0.9300500145110477,0.9161716411734535,0.012151665426790715,0.500469309091568
240,1.0,1.0,1.0,1.0,0.9017777800559997,0.9036727507956626,0.9249533839066656,0.9010926081588131,0.013058088906109332,0.49202335476875303
256,1.0,1.0,1.0,1.0,0.9142222166061401,0.9138606360120092,0.9275429935374669,0.9143014447420896,0.01067169290035963,0.4537091016769409
512,1.0,1.0,1.0,1.0,0.8382222294807434,0.8431943361565388,0.8961359574066872,0.8389709602127775,0.01070724129676819,0.6598528861999512
