topk,metric_acc,metric_f1,metric_precision,metric_recall,val_metric_acc,val_metric_f1,val_metric_precision,val_metric_recall,loss,val_loss
10,1.0,1.0,1.0,1.0,0.7939298391342163,0.681323786765265,0.6778749438960002,0.7297526022575908,0.0024908674997277556,1.1980481147766113
20,1.0,1.0,1.0,1.0,0.5886140286922454,0.5918848484175119,0.7052892247212506,0.6794690359305325,0.0018361520837061108,2.0413570642471313
30,1.0,1.0,1.0,1.0,0.7430812239646911,0.6180610179525421,0.7252573670168998,0.6566461647552103,0.0006911495293024927,1.2607764959335328
40,1.0,1.0,1.0,1.0,0.7407284736633301,0.5697909710497414,0.7020484796660237,0.6177764821801589,0.0009342323872260749,1.2450937032699585
50,1.0,1.0,1.0,1.0,0.5059426069259644,0.5154388630594131,0.7173386355468965,0.5484370709343553,0.00566415871726349,2.0147802352905275
60,1.0,1.0,1.0,1.0,0.4565789461135864,0.4418927688372383,0.6842437683939334,0.5268435864912002,0.004403259023092687,2.029887866973877
70,1.0,1.0,1.0,1.0,0.5970072329044342,0.49303504543173754,0.7394027762867911,0.5310190050193768,0.004485570709221065,1.44874005317688
80,1.0,1.0,1.0,1.0,0.46162426471710205,0.4629355224828874,0.6714181439149625,0.5629926220351753,0.003955691959708929,2.1049326419830323
90,1.0,1.0,1.0,1.0,0.6494597434997559,0.4445915077956982,0.6936980264676657,0.48339031724675924,0.00461106674047187,1.4736062049865724
100,1.0,1.0,1.0,1.0,0.5956315755844116,0.46252769327298615,0.6931382937249044,0.4608094244742059,0.0031608054880052803,1.5799230575561523
110,1.0,1.0,1.0,1.0,0.41157894730567934,0.3654628398111718,0.6475114885942187,0.45344932844932845,0.01599936280399561,2.150779151916504
120,1.0,1.0,1.0,1.0,0.4479016184806824,0.2950132320676082,0.6254190631235537,0.38811395627433365,0.02458599368110299,1.696817445755005
130,1.0,1.0,1.0,1.0,0.4373542904853821,0.2889896615711134,0.49461615886252835,0.42361744889757497,0.021232486423105,1.8806238889694213
140,1.0,1.0,1.0,1.0,0.4183857262134552,0.333827974227075,0.6649697232677398,0.4092573532619463,0.03142953161150217,1.9773507118225098
150,1.0,1.0,1.0,1.0,0.6395087718963623,0.43935613522766215,0.7067121102857185,0.47070642334622076,0.013053482590476052,1.4770385026931763
160,1.0,1.0,1.0,1.0,0.4605263233184814,0.3742512405748163,0.6245163509104396,0.4352200291827952,0.008587716799229383,2.0225980997085573
