topk,metric_acc,metric_f1,metric_precision,metric_recall,val_metric_acc,val_metric_f1,val_metric_precision,val_metric_recall,loss,val_loss
10,1.0,1.0,1.0,1.0,0.9044444561004639,0.9056494586973217,0.9114810533267528,0.9044728477840349,0.010738016478717327,0.37293499112129214
20,1.0,1.0,1.0,1.0,0.9355555534362793,0.9360411624426958,0.9425005786496271,0.9358891566329044,0.014398070052266121,0.3322828710079193
30,1.0,1.0,1.0,1.0,0.913777768611908,0.9156577439846835,0.9315362099098448,0.9140380302714481,0.017931579239666463,0.4226748764514923
40,1.0,1.0,1.0,1.0,0.9382222175598145,0.9385654910787696,0.9460815603305173,0.9386120359583965,0.013187138829380274,0.390030699968338
50,1.0,1.0,1.0,1.0,0.9204444527626038,0.9221568323390915,0.9317032865110528,0.9209597231028281,0.014042499475181103,0.3936397790908813
60,1.0,1.0,1.0,1.0,0.8799999952316284,0.8822761493257854,0.9132300909820122,0.8798572840312602,0.01326291188597679,0.5027805745601654
70,1.0,1.0,1.0,1.0,0.8955555558204651,0.898165363446102,0.9180710753623587,0.8961320929483307,0.015743144042789935,0.5135625243186951
80,1.0,1.0,1.0,1.0,0.8893333435058594,0.891838191698149,0.9146249193606133,0.8894596076452451,0.013815319910645486,0.49402894973754885
90,1.0,1.0,1.0,1.0,0.8911111116409302,0.8923106053259714,0.9155203632548803,0.8917048744015037,0.012600667029619216,0.5506213426589965
100,1.0,1.0,1.0,1.0,0.8391111135482788,0.8431187854394444,0.8870659593515529,0.8394543811820077,0.016649502888321878,0.5947962403297424
110,1.0,1.0,1.0,1.0,0.9164444446563721,0.9174087042660327,0.9338686728755953,0.916657228800759,0.014289779961109162,0.5005825281143188
120,1.0,1.0,1.0,1.0,0.8622222185134888,0.8645266476802895,0.8929466714372103,0.862182546542097,0.01247956920415163,0.6123659491539002
130,1.0,1.0,1.0,1.0,0.879111111164093,0.8815568757492299,0.9059237189345316,0.879623622645606,0.017128989845514298,0.6004474639892579
140,1.0,1.0,1.0,1.0,0.8551111102104187,0.8597037971455885,0.9013999757162836,0.855855940943386,0.016507129929959775,0.5838823080062866
150,1.0,1.0,1.0,1.0,0.7973333358764648,0.8074087165419573,0.8811766309998083,0.7987054225696142,0.01577591858804226,0.6764615297317504
160,1.0,1.0,1.0,1.0,0.8662222266197205,0.8694726178355484,0.9006048561717067,0.8665825052654558,0.015387038886547088,0.5770015239715576
